Name,IN EXPORTS OF GOODS & SERVICES CURN,IN GOVERNMENT CONSUMPTION CURN,IN GROSS FIXED CAPITAL FORMATION CURN,IN INCREASE/DECREASE (-) IN STOCKS CURN,IN PRIVATE CONSUMPTION CURN,IN NET FACTOR INCOME/PAYMENTS (-) ABROAD CURN,IN IMPORTS OF GOODS & SERVICES CURN,IN GROSS NATIONAL INCOME (FORMERLY GNP) CURN,IN GDP CURN,IN GDP DEFLATOR CONN
Code,INI90C..A,INI91F..A,INI93E..A,INI93I..A,INI96F..A,INI98.N.A,INI98C..A,INI99A..A,INI99B..A,INY99BIPC
1950,,,,,,-0.4,,93.3,,3
1951,,,,,,-0.4,,99.3,,3.1
1952,,,,,,-0.1,,97.5,,3
1953,,,,,,-0.2,,106.2,,3
1954,,,,,,-0.3,,100.4,,2.7
1955,,,,,,-0.1,,102.5,,2.7
1956,,,,,,-0.2,,122,,3
1957,,,,,,-0.2,,125.8,,3.1
1958,,,,,,-0.3,,140,,4
1959,,,,,,-0.5,,147.4,,3.3
1960,,,,,,-0.7,,161.3,,3.5
1961,,,,,,-1,,170.8,,3.6
1962,,,,,,-1.1,,183.7,,3.7
1963,,,,,,-1.1,,211.3,,4
1964,,,,,,-1.5,,246.2,,4.4
1965,,,,,,-1.7,,259.8,,4.7
1966,,,,,,-2.3,,293.4,,5.3
1967,,,,,,-2.6,,343.5,,5.8
1968,,,,,,-2.5,,364.2,,5.9
1969,,,,,,-2.7,,401.2,,6.1
1970,,,,,,-2.8,,428.8,,6.2
1971,,,,,,-2.9,,459.7,,6.6
1972,,,,,,-3.1,,507,,7.3
1973,,,,,,-3,,616.8,,8.6
1974,,,,,,-2.5,,729.4,,10
1975,,,,,,-2.5,,785.1,,9.9
1976,,,,,,-2.3,,846.6,,10.5
1977,,,,,,-2.4,,958.3,,11
1978,,,,,,-1.6,,1040.3,,11.3
1979,,,,,,1.5,,1145.1,,13.1
1980,,,,,,3.4,,1363.6,,14.6
1981,,,,,,0.4,,1598,,16.1
1982,,,,,,-6.3,,1775,,17.3
1983,,,,,,-9.4,,2066.4,,18.8
1984,,,,,,-14.2,,2299.2,,20.2
1985,,,,,,-14.3,,2608.1,,21.7
1986,,,,,,-18.1,,2911.4,,23.1
1987,,,,,,-26.2,,3305.8,,25.1
1988,,,,,,-45,,4190,,31.5
1989,,,,,,-57.3,,4804.5,,34.3
1990,,,,,,-75.5,,5611.3,,37.8
1991,,,,,,-100.8,,6430.4,,43.1
1992,,,,,,-116.5,,7367.2,,46.8
1993,,,,,,-120.8,,8471.4,,51.3
1994,,,,,,-130.8,,9996.9,,56.2
1995,,,,,,-134.8,,11783.3,,61.8
1996,,,,,,-130.8,,13655.3,,66.6
1997,,,,,,-132,,15139.5,,71
1998,,,,,,-149.7,,17362.3,,76.7
1999,,,,,,-154.3,,19366,,79.7
2000,,,,,,-227.3,,20795.8,,82.3
2001,,,,,,-200.7,,22588.8,,84.8
2002,,,,,,-166.9,,24378.7,,88
2003,,,,,,-182.5,,27339.1,,91
2004,,,,,,-223.8,,31270.3,28439,96
2005,7120.9,3730.8,11091.6,862.5,20553.9,-249.7,8134.7,35606.3,35803.4,100
2006,9231.3,4233.8,13436.5,1054,23161.1,-297.8,10400.1,40994,41333.6,104.9
2007,9994.4,4791,16054.4,1703.1,25960.9,-238.4,11677.9,46995.6,47234,110
2008,12066,6164.5,18523.5,1875.5,29133.9,,14913.7,,53217.6,117.7
2009,,,,,,,,,,
2010,,,,,,,,,,
